"https://www.youtube.com/watch?v=qRFEJ1ch1qU", LessonFirst
"https://www.youtube.com/watch?v=GgbKXOiJMxw", Java для начинающих: Статические поля и методы, Урок 33!
"https://www.youtube.com/watch?v=IhUrmChJ5Qk", Java для начинающих: Класс String, Урок 32!
"https://www.youtube.com/watch?v=eXJJIrq1rxk", Java для начинающих: Преобразование типов, Урок 31!
"https://www.youtube.com/watch?v=F9kH4fhxcoc", Java для начинающих: Простое наследование, Урок 30!
"https://www.youtube.com/watch?v=179BlvYPARw", Java для начинающих: Несколько примеров, Урок 29!
"https://www.youtube.com/watch?v=Q7BcPoXTfBU", Java для начинающих: Конструкторы, Урок 28!
"https://www.youtube.com/watch?v=_WuYtBYbuW4", Java для начинающих: Ключевое слово this, Урок 27!
"https://www.youtube.com/watch?v=XU0jCDxjoxY", CSS для начинающих: Фон (background), урок 15!
"https://www.youtube.com/watch?v=PSSbgm7NpKQ", CSS для начинающих: Разбор шаблона, урок 14!
"https://www.youtube.com/watch?v=jBIyb19Awfk", CSS для начинающих: Шрифты, урок 13!
"https://www.youtube.com/watch?v=QDJoIFnGH9s", CSS для начинающих: Работа с изображениями, урок 12!
"https://www.youtube.com/watch?v=oHRMg21BGA8", CSS для начинающих: Пример кнопки, урок 11!
"https://www.youtube.com/watch?v=yPVErBpzTlI", CSS для начинающих: Футер, урок 10!
"https://www.youtube.com/watch?v=PxoFY4rBUeQ", CSS для начинающих: Обтекание блочных элементов, урок 9!
"https://www.youtube.com/watch?v=WqcM7kWZM6s", CSS для начинающих: Позиционирование, урок 8!
"https://www.youtube.com/watch?v=mYfPpzsFkZg", HTML для начинающих: фреймы (frames), Урок 15!
"https://www.youtube.com/watch?v=NPs4ggSqMZs", Java maven: Плагины и репозитории, урок 5!
"https://www.youtube.com/watch?v=puIblOhXKNk", Java maven: Сборка проекта, выполнение тестов и т.д., урок 4!
"https://www.youtube.com/watch?v=AAhHqFUIaos", Java maven: Зависимости (dependencies), урок 3!
"https://www.youtube.com/watch?v=54zYBeezwJo", Java maven: Создание проекта в eclipse, урок 2!
"https://www.youtube.com/watch?v=xpP43y__8uU", Java maven: Введение, урок 1!
"https://www.youtube.com/watch?v=xICh6buGMb0", Java web приложение: урок 7!
"https://www.youtube.com/watch?v=3e3vUUoen0o", Java web приложение: урок 6!
"https://www.youtube.com/watch?v=Oe8o3y1f5pE", Java web приложение: урок 5!
"https://www.youtube.com/watch?v=ytyoVF4CXDE", Java web приложение: урок 4!
"https://www.youtube.com/watch?v=NkKGYLXkIXA", Java web приложение: урок 3!
"https://www.youtube.com/watch?v=YLPmRjhkPH0", Java web приложение: урок 2!
"https://www.youtube.com/watch?v=fTda8m2w8sw", Java web приложение: урок 1!
"https://www.youtube.com/watch?v=qpSmCgJzC5c", CSS для начинающих: Отсупы (margin, padding), урок 7!
"https://www.youtube.com/watch?v=GIpyl4BnYQs", CSS для начинающих: Селекторы, урок 6!
"https://www.youtube.com/watch?v=W7ytbZ8zjcs", CSS для начинающих: Шрифты, урок 5!
"https://www.youtube.com/watch?v=rrPDuKfxtDw", Java для начинающих: Перегрузка методов, Урок 26!
"https://www.youtube.com/watch?v=BFlxMsFKUKI", Java для начинающих: Методы класса, Урок 25!
"https://www.youtube.com/watch?v=8jFjT9-nkZo", CSS для начинающих: Селекторы, урок 4!
